,,0,1
6,-7,14.570385909864102,18.4582083832228
5,-6,16.51754225411111,8.345306801517083
4,-3,5.841896344820547,19.89441509541737
3,-4,19.88920049494624,18.494696162195225
2,-5,19.87262371322641,-17.524747257341804
1,-4,19.87133022655373,-19.499999999999716
0,-5,-9.999999999999996,-10.0
5,-8,19.434562567778812,11.68276144601187
4,-7,19.834038458675156,-13.433833557235044
0,-1,18.07980244408981,19.832854611854035
9,-3,19.887217484585502,19.81057970718616
8,-4,19.84682638848223,19.672097051542742
7,-5,19.708399498269998,19.898471796693805
6,-6,19.85698398687803,19.746881476738118
5,-7,19.90498074664882,-6.502199535475416
4,-8,-12.323281692089235,-13.310361529561698
3,-7,13.100235227652613,-15.646585554482163
2,-8,-17.52452281686604,-17.52264280141883
1,-7,-19.4999993207193,-19.499999027199934
0,-4,-10.0,-10.0
12,4,18.17516785408086,19.924586131064668
11,3,19.359489791476697,19.9259018678688
10,2,18.23586365263605,19.835640876235644
9,3,-8.802933665476063,19.743456778615716
8,2,19.38516988938744,19.722808147334625
7,3,-9.001600667800645,19.64969561628534
6,6,-7.941773569132726,19.999668306947424
5,5,-10.000481405201906,19.867694409494813
3,3,-9.96037112680278,19.87600926114789
2,2,-24.636832090131854,19.832744764740774
12,3,19.759197018894074,19.91506844937489
11,4,16.038396667105783,19.611983362450378
10,3,11.127856059408098,19.870868560540437
9,2,19.805815003679925,19.845509377971595
8,3,19.8361166524859,14.208128630241779
7,2,11.080545861999605,14.199702137350839
2,11,-9.999872,-8.499404171172118
1,10,-9.999999999999979,-15.680000000000001
0,9,-10.0,-9.6
9,6,14.216175660458319,19.883198538932373
8,5,-9.76007426327826,19.861601008495754
5,4,-10.769331094226615,19.825090737510845
3,4,-14.612857167918731,19.75522219785458
2,7,-18.409380066184703,-15.12452814665925
1,11,-9.999999999986892,-15.680000000000001
11,5,19.999907755113192,19.747191142409207
10,9,-13.40758093919879,19.94740364658247
9,8,-11.863748441228688,19.885596921404947
8,9,-9.760543431835057,19.99777015339394
7,8,-5.955489407601139,19.999379415918632
6,7,-6.4849628942516695,19.999544953403003
5,6,-9.723622258499418,19.99042469514408
4,7,-9.179084238864178,-13.232043540833743
3,10,-9.979136,-9.57421164466409
2,9,-9.103999384273392,-14.262490899307622
0,11,-10.0,0.0
12,-2,19.99117401148037,19.96566120276398
11,-3,19.91509418442355,19.942787570884107
10,-4,19.90949457381727,19.911314480916083
9,-5,19.829677775449344,19.85404711499635
8,-6,19.774097320445673,19.88491371026724
7,-7,19.909953403843836,19.679199307490485
6,-8,19.90704282054115,16.322832819923107
1,8,-11.459200896532494,-19.38432
4,1,19.872929615434963,2.423935280881505
3,2,-9.588583998433016,19.867451527709957
2,1,12.775923830164622,19.891808243914912
1,2,-19.49989727051177,19.75841078908024
0,5,-10.0,-9.99936
12,-3,19.959574590522045,19.872781836351255
11,-4,19.7930802734674,19.805125526794985
4,-1,16.83086951874791,19.786771909127392
3,-2,1.4440811378657408,19.856421097563654
2,-3,19.88011703520666,13.06016811005804
1,-2,19.872026234781345,-19.5
0,-3,-10.0,-10.0
0,1,17.695844822077827,19.900061473858447
2,5,-24.847232021917172,-17.488447967513604
1,6,-17.296098083352394,-19.484160000000003
6,-2,19.611391873378892,19.902763592655138
5,-3,11.003032318453151,19.87610141140742
4,-2,11.076623817381224,19.45877295418075
3,-3,19.577340919765785,19.862443593102633
2,-2,-10.100621281125708,19.877808381924797
1,-3,19.88376961961299,-19.5
9,-2,18.14916053245303,19.901690139688846
8,-1,18.706846861130252,19.869542301432112
9,4,15.093191190785213,19.9021509718605
1,1,-19.499901933938556,19.824374238915407
0,0,-5.836565035089446,19.88599057631151
7,-2,18.281251724531142,19.884761145067287
5,-2,19.179401851807427,19.895975224976134
0,-8,-9.999998976,-10.0
12,-6,19.827063558487435,19.999405367885746
11,-7,19.930788881560783,19.981079154427434
10,-8,19.985804736814732,19.95836768645662
9,-7,19.85071009275536,19.88168890939612
8,-8,19.92241629076728,19.777016410448653
7,-9,19.95992699296062,19.999608409629158
5,-9,19.941716706899793,-10.304813542536312
4,-10,-13.486862634023584,-13.613411128983243
3,-11,-15.499901435768164,-8.778001075035013
2,-12,-17.4108849176576,-8.5
1,-12,-19.38432,-10.0
0,-12,0.0,-10.0
7,0,16.766448030097916,19.88475733698967
6,-1,10.998481509971011,19.889178358145006
2,0,-11.41142885860689,19.853833075237095
5,-5,19.857600482259784,19.702621180148537
4,-6,19.809945763672598,-4.706722959910941
3,-5,19.853405958453862,-15.648630497768378
2,-6,-17.524999144295943,-17.52499900704265
0,-7,-9.99999488,-10.0
6,1,11.19966680230142,19.11504678500368
2,-1,-9.989314061230566,-14.671806052760488
9,-8,18.616426599568836,19.42319568125323
7,5,0.3442297106172454,19.931277003562712
3,-6,10.675943372452107,-15.645386434417688
2,-7,-17.52449924589427,-17.523523897683944
1,-6,-19.499999352831974,-19.49999515567389
1,-9,-19.499737088,-19.49898152476672
9,-9,19.91407317276763,19.36241265454232
6,-10,19.863479688115362,-3.067005786779173
5,-11,-10.9110839580702,-4.521463079664268
4,-12,-11.949821188759444,-5.721249999999999
3,-12,-8.034185216,-7.074999999999999
2,-11,-17.514733060096,-17.50334807605248
0,-11,-9.9968,-9.99999995904
4,5,-10.000157289802786,19.860980926511303
1,4,-19.495991745120435,-19.49999901442048
0,3,-10.0,-9.99999999967232
0,-10,-9.99936,-9.9999999983616
12,-1,19.878224287700977,19.938201089028926
1,-8,-19.499661616742397,-19.4973868032
9,7,13.99678400855148,19.921473656483577
8,8,-13.961619390851066,19.99955159131729
7,7,-9.518613285312023,19.99984494861
2,6,-17.90191052353214,-17.51985468202557
1,5,-11.838499208340522,-19.499991039999998
6,4,-4.051772613717937,19.94021074793397
2,-4,19.914313675681747,-17.524999963027426
0,-9,-9.99936,-9.999999991808
1,-11,-19.49774790656,-11.8990610432
5,3,-4.20010350561056,19.641047028382424
4,2,18.657648269308716,19.73131580659791
3,-10,-15.569332569192904,-15.493626758168576
2,-10,-17.42390296576,-17.479301473894402
9,5,-9.230163263550688,19.839672826168638
1,-10,-19.4970288128,-19.49877927936
7,-8,18.57380346615734,18.13794521841245
6,-5,19.79769810670428,12.668424596497772
5,-4,19.891866430772286,17.775481301052416
4,-5,19.384526335775142,3.8555315925113582
3,0,-11.796011849919704,10.814291704591078
6,-4,19.89499891259375,19.580192637871512
5,-1,19.586406989609152,19.851175550849398
0,-2,19.86660174414387,18.85430303354628
8,-5,19.893522356461027,18.94652729841934
7,1,19.587002847434693,19.746073387961225
6,0,11.177558462762972,19.806579990059717
7,6,14.200357576174348,19.89887292335542
6,5,14.053666005035003,19.914145589621917
4,9,-9.988642308096,-6.7996884523047445
3,12,-9.999872,0.0
8,-9,19.588984423218324,18.594070047054213
7,-10,17.94028736417931,1.4712756881557087
6,-11,-4.927602344030585,-3.213431922434522
5,-10,6.90677502924021,-11.258433296430548
4,-11,-13.219021522409552,-6.014600859512207
9,-10,19.37820402605732,15.703826972696804
4,-9,16.594877553057835,-13.486569581200621
3,-9,-15.56553024939668,-15.453374140776448
9,-11,19.998217823534898,19.594894683173184
8,-11,17.67195544037816,3.2952284003406014
