,Epsilon,Mean Reward
0,0.1,12814
1,0.2,6303
2,0.30000000000000004,11598
3,0.4,18998
4,0.5,16443
5,0.6,22258
6,0.7000000000000001,29407
7,0.8,24415
8,0.9,27891
9,1.0,20166
