,,0,1
12,0,13.23893066832004,17.12342983886448
11,-1,4.321982219531737,17.74413551950697
10,-2,6.944166714118882,18.386504887452496
9,-1,11.224562543451036,17.09694308603164
8,2,18.782243513518434,7.1343987895864664
7,7,-15.91324914521174,16.697820851233185
6,9,-18.90604380389376,-9.369517401996397
12,-3,17.909777141597566,8.753003198399426
7,5,-8.397368112848836,18.275152813561906
11,-2,8.441582401097548,18.251680686723613
10,-3,18.328234631943886,6.243307023661203
9,-2,11.150851263313328,18.23506475733653
8,-3,4.947796946334565,18.19094934516792
7,-4,18.67481372422382,4.849774321236881
6,-5,2.5516472284297613,16.45187173326712
5,-6,18.31795482345386,-9.443189976971588
4,-5,16.375321647820364,-12.354470892761952
3,-6,-13.917617832929906,11.452969665258305
2,-7,16.64942294712382,-17.52495087611188
1,-8,-19.49999831808046,-19.49999964692991
0,-7,-10.0,-10.0
12,-4,18.409287109557493,15.190979028950434
11,-5,14.676156583825875,17.961165794006817
10,-6,18.30685705813532,13.184183377704418
9,-7,17.488456064846645,12.276765670986059
8,-8,16.014660695257614,9.060301243232226
7,-9,18.82128010666673,15.31939637728323
6,-10,16.898227304785205,-3.2327205005145006
5,-9,16.89545929335373,-1.598817721624597
4,-6,14.041478302834872,-4.154292317993166
3,-7,18.45764033642003,-12.386820833947201
2,-8,15.550550862815404,-17.52450718471285
1,-7,-19.499999999999986,-19.49999999999997
0,-4,-10.0,-10.0
12,2,6.2370819441562695,17.468141134317186
11,1,18.307180291892543,8.96871694119468
10,2,-8.751246666243993,18.893493153841437
9,1,8.889456745837895,17.638888144202085
7,1,15.547836188220643,15.504055721728525
6,2,-1.2756161543386924,17.801179247997432
5,5,-13.370840573673767,9.033562328545914
4,10,-15.680000000000001,-10.142276587514207
12,1,8.319375240899003,18.713846235636545
11,2,-1.1708938501134476,14.92543767478102
10,5,-12.347989379652438,18.347537529976837
9,4,9.131219771687235,17.98078561991581
8,3,-4.863516738895228,18.063510774845643
7,2,18.17349972112544,6.467652047064668
6,1,1.148106472943184,17.8009526022073
5,2,18.344032267751963,-8.101167719310748
4,1,9.028478799518487,18.817970508829504
3,2,-18.324199918731154,16.98128236996292
2,5,-17.54360026103808,-10.069867097496545
1,10,-9.92,-9.6
12,-1,9.242531604217277,17.646323958814975
1,4,-19.499999999999982,-17.979996108550566
0,5,-10.0,-10.0
12,3,0.0,18.55956028935554
10,3,5.173319600293642,16.212740643440355
9,2,7.649073202414726,17.88767365653282
8,1,-8.109394075916846,18.33479735979799
7,0,-0.5463585776553259,18.768022686938387
6,-1,9.257249784268225,10.79546495034527
5,-2,5.9294685261258735,16.72196539535986
4,-3,17.942186468578218,-0.12106639196307611
3,-2,17.860339787242033,-3.9185319768374782
2,1,13.440417267630256,17.596363911751588
1,0,5.931613252679647,17.717576832068804
0,1,-10.458268022405512,18.409049435195932
9,-6,18.046383376332237,11.136157757328707
8,-7,18.148195064551924,7.431949061632785
7,-6,14.079401768919482,8.583853626289342
6,-3,-0.37098703446067915,18.725339319020964
5,-4,18.840151267877648,14.07219505560103
3,0,9.863423078610381,16.905711244226538
0,-9,-9.99999995904,-9.99999995904
0,-8,-9.999999999999996,-9.999999999999996
4,4,-22.70257221204917,14.50041172086792
3,3,-14.549186459630977,15.31498249047605
2,2,-17.489024486440574,17.024681525254863
1,3,-19.5,-11.89990272
0,6,-10.0,-10.0
1,-9,-19.499951102704994,-19.499925595750398
0,2,-10.0,-10.0
11,0,6.937203704076423,18.031002698988903
