,Step_Size,Mean Reward
0,0.1,3000
1,0.2,14479
2,0.30000000000000004,25792
3,0.4,66891
4,0.5,51956
5,0.6,51773
6,0.7000000000000001,39743
7,0.8,47118
8,0.9,20241
9,1.0,13106
