,Step-Size,Mean Reward
0,0.1,44812
1,0.2,83146
2,0.30000000000000004,125857
3,0.4,131738
4,0.5,137190
5,0.6,135528
6,0.7000000000000001,135737
7,0.8,143749
8,0.9,107837
9,1.0,78040
