,Gamma,Mean Reward
0,0.1,4970
1,0.2,6928
2,0.30000000000000004,7471
3,0.4,17103
4,0.5,23884
5,0.6,22595
6,0.7000000000000001,18972
7,0.8,29525
8,0.9,24694
9,1.0,47055
